Year,Revenue,Expenses,Profit,Assets,Liabilities,Equity
2010,5423871.25,3764529.18,1659342.07,9876543.21,6543210.87,3333332.34
2011,6234567.89,4356789.12,1877778.77,10987654.32,7654321.98,3333332.34
2012,7345678.90,5467890.23,1877788.67,12098765.43,8765432.09,3333333.34
2013,8456789.01,6578901.34,1877887.67,13109876.54,9876543.20,3333333.34
2014,9567890.12,7689012.45,1878877.67,14210987.65,10987654.31,3223333.34
2015,10678901.23,8790123.56,1888777.67,15321098.76,12098765.42,3222333.34
2016,11789012.34,9801234.67,1987777.67,16432109.87,13209876.53,3222233.34
2017,12890123.45,10912345.78,1977777.67,17543210.98,14320987.64,3222223.34
2018,13901234.56,11923456.89,1977778.67,18654321.09,15432098.75,3222222.34
2019,15012345.67,13034567.90,1977777.77,19765432.10,16543209.86,3222222.24
2020,16123456.78,14145678.01,1977778.77,20876543.21,17654320.97,3222222.24
2021,17234567.89,15256789.12,1977778.77,21987654.32,18765432.08,3222222.24
2022,18345678.90,16367890.23,1977788.67,23098765.43,19876543.19,3222222.24
2023,19456789.01,17478901.34,1977887.67,24109876.54,20987654.30,3122222.24
2024,20567890.12,18589012.45,1978877.67,25210987.65,22098765.41,3112222.24
